Column,Variable
198,"tBodyGyroJerk-arCoeff()-Z,1"
199,"tBodyGyroJerk-arCoeff()-Z,2"
200,"tBodyGyroJerk-arCoeff()-Z,3"
201,"tBodyGyroJerk-arCoeff()-Z,4"
202,"tBodyGyroJerk-correlation()-X,Y"
203,"tBodyGyroJerk-correlation()-X,Z"
204,"tBodyGyroJerk-correlation()-Y,Z"
205,tBodyAccMag-mean()
206,tBodyAccMag-std()
207,tBodyAccMag-mad()
208,tBodyAccMag-max()
209,tBodyAccMag-min()
210,tBodyAccMag-sma()
211,tBodyAccMag-energy()
212,tBodyAccMag-iqr()
213,tBodyAccMag-entropy()
214,tBodyAccMag-arCoeff()1
215,tBodyAccMag-arCoeff()2
216,tBodyAccMag-arCoeff()3
217,tBodyAccMag-arCoeff()4
218,tGravityAccMag-mean()
219,tGravityAccMag-std()
220,tGravityAccMag-mad()
221,tGravityAccMag-max()
222,tGravityAccMag-min()
223,tGravityAccMag-sma()
224,tGravityAccMag-energy()
225,tGravityAccMag-iqr()
226,tGravityAccMag-entropy()
227,tGravityAccMag-arCoeff()1
228,tGravityAccMag-arCoeff()2
229,tGravityAccMag-arCoeff()3
230,tGravityAccMag-arCoeff()4
231,tBodyAccJerkMag-mean()
232,tBodyAccJerkMag-std()
233,tBodyAccJerkMag-mad()
234,tBodyAccJerkMag-max()
235,tBodyAccJerkMag-min()
236,tBodyAccJerkMag-sma()
237,tBodyAccJerkMag-energy()
238,tBodyAccJerkMag-iqr()
239,tBodyAccJerkMag-entropy()
240,tBodyAccJerkMag-arCoeff()1
241,tBodyAccJerkMag-arCoeff()2
242,tBodyAccJerkMag-arCoeff()3
243,tBodyAccJerkMag-arCoeff()4
244,tBodyGyroMag-mean()
245,tBodyGyroMag-std()
246,tBodyGyroMag-mad()
247,tBodyGyroMag-max()
248,tBodyGyroMag-min()
249,tBodyGyroMag-sma()
250,tBodyGyroMag-energy()
251,tBodyGyroMag-iqr()
252,tBodyGyroMag-entropy()
253,tBodyGyroMag-arCoeff()1
254,tBodyGyroMag-arCoeff()2
255,tBodyGyroMag-arCoeff()3
256,tBodyGyroMag-arCoeff()4
257,tBodyGyroJerkMag-mean()
258,tBodyGyroJerkMag-std()
259,tBodyGyroJerkMag-mad()
260,tBodyGyroJerkMag-max()
261,tBodyGyroJerkMag-min()
262,tBodyGyroJerkMag-sma()
263,tBodyGyroJerkMag-energy()
264,tBodyGyroJerkMag-iqr()
265,tBodyGyroJerkMag-entropy()
266,tBodyGyroJerkMag-arCoeff()1
267,tBodyGyroJerkMag-arCoeff()2
268,tBodyGyroJerkMag-arCoeff()3
269,tBodyGyroJerkMag-arCoeff()4
270,fBodyAcc-mean()-X
271,fBodyAcc-mean()-Y
272,fBodyAcc-mean()-Z
273,fBodyAcc-std()-X
274,fBodyAcc-std()-Y
275,fBodyAcc-std()-Z
276,fBodyAcc-mad()-X
277,fBodyAcc-mad()-Y
278,fBodyAcc-mad()-Z
279,fBodyAcc-max()-X
280,fBodyAcc-max()-Y
281,fBodyAcc-max()-Z
282,fBodyAcc-min()-X
283,fBodyAcc-min()-Y
284,fBodyAcc-min()-Z
285,fBodyAcc-sma()
286,fBodyAcc-energy()-X
287,fBodyAcc-energy()-Y
288,fBodyAcc-energy()-Z
289,fBodyAcc-iqr()-X
290,fBodyAcc-iqr()-Y
291,fBodyAcc-iqr()-Z
292,fBodyAcc-entropy()-X
293,fBodyAcc-entropy()-Y
294,fBodyAcc-entropy()-Z
295,fBodyAcc-maxInds-X
296,fBodyAcc-maxInds-Y
297,fBodyAcc-maxInds-Z
298,fBodyAcc-meanFreq()-X
299,fBodyAcc-meanFreq()-Y
300,fBodyAcc-meanFreq()-Z
301,fBodyAcc-skewness()-X
302,fBodyAcc-kurtosis()-X
303,fBodyAcc-skewness()-Y
304,fBodyAcc-kurtosis()-Y
305,fBodyAcc-skewness()-Z
306,fBodyAcc-kurtosis()-Z
307,"fBodyAcc-bandsEnergy()-1,8"
308,"fBodyAcc-bandsEnergy()-9,16"
309,"fBodyAcc-bandsEnergy()-17,24"
310,"fBodyAcc-bandsEnergy()-25,32"
311,"fBodyAcc-bandsEnergy()-33,40"
312,"fBodyAcc-bandsEnergy()-41,48"
313,"fBodyAcc-bandsEnergy()-49,56"
314,"fBodyAcc-bandsEnergy()-57,64"
315,"fBodyAcc-bandsEnergy()-1,16"
316,"fBodyAcc-bandsEnergy()-17,32"
317,"fBodyAcc-bandsEnergy()-33,48"
318,"fBodyAcc-bandsEnergy()-49,64"
319,"fBodyAcc-bandsEnergy()-1,24"
320,"fBodyAcc-bandsEnergy()-25,48"
321,"fBodyAcc-bandsEnergy()-1,8.1"
322,"fBodyAcc-bandsEnergy()-9,16.1"
323,"fBodyAcc-bandsEnergy()-17,24.1"
324,"fBodyAcc-bandsEnergy()-25,32.1"
325,"fBodyAcc-bandsEnergy()-33,40.1"
326,"fBodyAcc-bandsEnergy()-41,48.1"
327,"fBodyAcc-bandsEnergy()-49,56.1"
328,"fBodyAcc-bandsEnergy()-57,64.1"
329,"fBodyAcc-bandsEnergy()-1,16.1"
330,"fBodyAcc-bandsEnergy()-17,32.1"
331,"fBodyAcc-bandsEnergy()-33,48.1"
332,"fBodyAcc-bandsEnergy()-49,64.1"
333,"fBodyAcc-bandsEnergy()-1,24.1"
334,"fBodyAcc-bandsEnergy()-25,48.1"
335,"fBodyAcc-bandsEnergy()-1,8.2"
336,"fBodyAcc-bandsEnergy()-9,16.2"
337,"fBodyAcc-bandsEnergy()-17,24.2"
338,"fBodyAcc-bandsEnergy()-25,32.2"
339,"fBodyAcc-bandsEnergy()-33,40.2"
340,"fBodyAcc-bandsEnergy()-41,48.2"
341,"fBodyAcc-bandsEnergy()-49,56.2"
342,"fBodyAcc-bandsEnergy()-57,64.2"
343,"fBodyAcc-bandsEnergy()-1,16.2"
344,"fBodyAcc-bandsEnergy()-17,32.2"
345,"fBodyAcc-bandsEnergy()-33,48.2"
346,"fBodyAcc-bandsEnergy()-49,64.2"
347,"fBodyAcc-bandsEnergy()-1,24.2"
348,"fBodyAcc-bandsEnergy()-25,48.2"
349,fBodyAccJerk-mean()-X
350,fBodyAccJerk-mean()-Y
351,fBodyAccJerk-mean()-Z
352,fBodyAccJerk-std()-X
353,fBodyAccJerk-std()-Y
354,fBodyAccJerk-std()-Z
355,fBodyAccJerk-mad()-X
356,fBodyAccJerk-mad()-Y
357,fBodyAccJerk-mad()-Z
358,fBodyAccJerk-max()-X
359,fBodyAccJerk-max()-Y
360,fBodyAccJerk-max()-Z
361,fBodyAccJerk-min()-X
362,fBodyAccJerk-min()-Y
363,fBodyAccJerk-min()-Z
364,fBodyAccJerk-sma()
365,fBodyAccJerk-energy()-X
366,fBodyAccJerk-energy()-Y
367,fBodyAccJerk-energy()-Z
368,fBodyAccJerk-iqr()-X
369,fBodyAccJerk-iqr()-Y
370,fBodyAccJerk-iqr()-Z
371,fBodyAccJerk-entropy()-X
372,fBodyAccJerk-entropy()-Y
373,fBodyAccJerk-entropy()-Z
374,fBodyAccJerk-maxInds-X
375,fBodyAccJerk-maxInds-Y
376,fBodyAccJerk-maxInds-Z
377,fBodyAccJerk-meanFreq()-X
378,fBodyAccJerk-meanFreq()-Y
379,fBodyAccJerk-meanFreq()-Z
380,fBodyAccJerk-skewness()-X
381,fBodyAccJerk-kurtosis()-X
382,fBodyAccJerk-skewness()-Y
383,fBodyAccJerk-kurtosis()-Y
384,fBodyAccJerk-skewness()-Z
385,fBodyAccJerk-kurtosis()-Z
386,"fBodyAccJerk-bandsEnergy()-1,8"
387,"fBodyAccJerk-bandsEnergy()-9,16"
388,"fBodyAccJerk-bandsEnergy()-17,24"
389,"fBodyAccJerk-bandsEnergy()-25,32"
390,"fBodyAccJerk-bandsEnergy()-33,40"
391,"fBodyAccJerk-bandsEnergy()-41,48"
392,"fBodyAccJerk-bandsEnergy()-49,56"
393,"fBodyAccJerk-bandsEnergy()-57,64"
394,"fBodyAccJerk-bandsEnergy()-1,16"
395,"fBodyAccJerk-bandsEnergy()-17,32"
396,"fBodyAccJerk-bandsEnergy()-33,48"
397,"fBodyAccJerk-bandsEnergy()-49,64"
398,"fBodyAccJerk-bandsEnergy()-1,24"
399,"fBodyAccJerk-bandsEnergy()-25,48"
400,"fBodyAccJerk-bandsEnergy()-1,8.1"
401,"fBodyAccJerk-bandsEnergy()-9,16.1"
402,"fBodyAccJerk-bandsEnergy()-17,24.1"
403,"fBodyAccJerk-bandsEnergy()-25,32.1"
404,"fBodyAccJerk-bandsEnergy()-33,40.1"
405,"fBodyAccJerk-bandsEnergy()-41,48.1"
406,"fBodyAccJerk-bandsEnergy()-49,56.1"
407,"fBodyAccJerk-bandsEnergy()-57,64.1"
408,"fBodyAccJerk-bandsEnergy()-1,16.1"
409,"fBodyAccJerk-bandsEnergy()-17,32.1"
410,"fBodyAccJerk-bandsEnergy()-33,48.1"
411,"fBodyAccJerk-bandsEnergy()-49,64.1"
412,"fBodyAccJerk-bandsEnergy()-1,24.1"
413,"fBodyAccJerk-bandsEnergy()-25,48.1"
414,"fBodyAccJerk-bandsEnergy()-1,8.2"
415,"fBodyAccJerk-bandsEnergy()-9,16.2"
416,"fBodyAccJerk-bandsEnergy()-17,24.2"
417,"fBodyAccJerk-bandsEnergy()-25,32.2"
418,"fBodyAccJerk-bandsEnergy()-33,40.2"
419,"fBodyAccJerk-bandsEnergy()-41,48.2"
420,"fBodyAccJerk-bandsEnergy()-49,56.2"
421,"fBodyAccJerk-bandsEnergy()-57,64.2"
422,"fBodyAccJerk-bandsEnergy()-1,16.2"
423,"fBodyAccJerk-bandsEnergy()-17,32.2"
424,"fBodyAccJerk-bandsEnergy()-33,48.2"
425,"fBodyAccJerk-bandsEnergy()-49,64.2"
426,"fBodyAccJerk-bandsEnergy()-1,24.2"
427,"fBodyAccJerk-bandsEnergy()-25,48.2"
428,fBodyGyro-mean()-X
429,fBodyGyro-mean()-Y
430,fBodyGyro-mean()-Z
431,fBodyGyro-std()-X
432,fBodyGyro-std()-Y
433,fBodyGyro-std()-Z
434,fBodyGyro-mad()-X
435,fBodyGyro-mad()-Y
436,fBodyGyro-mad()-Z
437,fBodyGyro-max()-X
438,fBodyGyro-max()-Y
439,fBodyGyro-max()-Z
440,fBodyGyro-min()-X
441,fBodyGyro-min()-Y
442,fBodyGyro-min()-Z
443,fBodyGyro-sma()
444,fBodyGyro-energy()-X
445,fBodyGyro-energy()-Y
446,fBodyGyro-energy()-Z
447,fBodyGyro-iqr()-X
448,fBodyGyro-iqr()-Y
449,fBodyGyro-iqr()-Z
450,fBodyGyro-entropy()-X
451,fBodyGyro-entropy()-Y
452,fBodyGyro-entropy()-Z
453,fBodyGyro-maxInds-X
454,fBodyGyro-maxInds-Y
455,fBodyGyro-maxInds-Z
456,fBodyGyro-meanFreq()-X
457,fBodyGyro-meanFreq()-Y
458,fBodyGyro-meanFreq()-Z
459,fBodyGyro-skewness()-X
460,fBodyGyro-kurtosis()-X
461,fBodyGyro-skewness()-Y
462,fBodyGyro-kurtosis()-Y
463,fBodyGyro-skewness()-Z
464,fBodyGyro-kurtosis()-Z
465,"fBodyGyro-bandsEnergy()-1,8"
466,"fBodyGyro-bandsEnergy()-9,16"
467,"fBodyGyro-bandsEnergy()-17,24"
468,"fBodyGyro-bandsEnergy()-25,32"
469,"fBodyGyro-bandsEnergy()-33,40"
470,"fBodyGyro-bandsEnergy()-41,48"
471,"fBodyGyro-bandsEnergy()-49,56"
472,"fBodyGyro-bandsEnergy()-57,64"
473,"fBodyGyro-bandsEnergy()-1,16"
474,"fBodyGyro-bandsEnergy()-17,32"
475,"fBodyGyro-bandsEnergy()-33,48"
476,"fBodyGyro-bandsEnergy()-49,64"
477,"fBodyGyro-bandsEnergy()-1,24"
478,"fBodyGyro-bandsEnergy()-25,48"
479,"fBodyGyro-bandsEnergy()-1,8.1"
480,"fBodyGyro-bandsEnergy()-9,16.1"
481,"fBodyGyro-bandsEnergy()-17,24.1"
482,"fBodyGyro-bandsEnergy()-25,32.1"
483,"fBodyGyro-bandsEnergy()-33,40.1"
484,"fBodyGyro-bandsEnergy()-41,48.1"
485,"fBodyGyro-bandsEnergy()-49,56.1"
486,"fBodyGyro-bandsEnergy()-57,64.1"
487,"fBodyGyro-bandsEnergy()-1,16.1"
488,"fBodyGyro-bandsEnergy()-17,32.1"
489,"fBodyGyro-bandsEnergy()-33,48.1"
490,"fBodyGyro-bandsEnergy()-49,64.1"
491,"fBodyGyro-bandsEnergy()-1,24.1"
492,"fBodyGyro-bandsEnergy()-25,48.1"
493,"fBodyGyro-bandsEnergy()-1,8.2"
494,"fBodyGyro-bandsEnergy()-9,16.2"
495,"fBodyGyro-bandsEnergy()-17,24.2"
496,"fBodyGyro-bandsEnergy()-25,32.2"
497,"fBodyGyro-bandsEnergy()-33,40.2"
498,"fBodyGyro-bandsEnergy()-41,48.2"
499,"fBodyGyro-bandsEnergy()-49,56.2"
500,"fBodyGyro-bandsEnergy()-57,64.2"
501,"fBodyGyro-bandsEnergy()-1,16.2"
502,"fBodyGyro-bandsEnergy()-17,32.2"
503,"fBodyGyro-bandsEnergy()-33,48.2"
504,"fBodyGyro-bandsEnergy()-49,64.2"
505,"fBodyGyro-bandsEnergy()-1,24.2"
506,"fBodyGyro-bandsEnergy()-25,48.2"
507,fBodyAccMag-mean()
508,fBodyAccMag-std()
509,fBodyAccMag-mad()
510,fBodyAccMag-max()
511,fBodyAccMag-min()
512,fBodyAccMag-sma()
513,fBodyAccMag-energy()
514,fBodyAccMag-iqr()
515,fBodyAccMag-entropy()
516,fBodyAccMag-maxInds
517,fBodyAccMag-meanFreq()
518,fBodyAccMag-skewness()
519,fBodyAccMag-kurtosis()
520,fBodyBodyAccJerkMag-mean()
521,fBodyBodyAccJerkMag-std()
522,fBodyBodyAccJerkMag-mad()
523,fBodyBodyAccJerkMag-max()
524,fBodyBodyAccJerkMag-min()
525,fBodyBodyAccJerkMag-sma()
526,fBodyBodyAccJerkMag-energy()
527,fBodyBodyAccJerkMag-iqr()
528,fBodyBodyAccJerkMag-entropy()
529,fBodyBodyAccJerkMag-maxInds
530,fBodyBodyAccJerkMag-meanFreq()
531,fBodyBodyAccJerkMag-skewness()
532,fBodyBodyAccJerkMag-kurtosis()
533,fBodyBodyGyroMag-mean()
534,fBodyBodyGyroMag-std()
535,fBodyBodyGyroMag-mad()
536,fBodyBodyGyroMag-max()
537,fBodyBodyGyroMag-min()
538,fBodyBodyGyroMag-sma()
539,fBodyBodyGyroMag-energy()
540,fBodyBodyGyroMag-iqr()
541,fBodyBodyGyroMag-entropy()
542,fBodyBodyGyroMag-maxInds
543,fBodyBodyGyroMag-meanFreq()
544,fBodyBodyGyroMag-skewness()
545,fBodyBodyGyroMag-kurtosis()
546,fBodyBodyGyroJerkMag-mean()
547,fBodyBodyGyroJerkMag-std()
548,fBodyBodyGyroJerkMag-mad()
549,fBodyBodyGyroJerkMag-max()
550,fBodyBodyGyroJerkMag-min()
551,fBodyBodyGyroJerkMag-sma()
552,fBodyBodyGyroJerkMag-energy()
553,fBodyBodyGyroJerkMag-iqr()
554,fBodyBodyGyroJerkMag-entropy()
555,fBodyBodyGyroJerkMag-maxInds
556,fBodyBodyGyroJerkMag-meanFreq()
557,fBodyBodyGyroJerkMag-skewness()
558,fBodyBodyGyroJerkMag-kurtosis()
559,"angle(tBodyAccMean,gravity)"
560,"angle(tBodyAccJerkMean),gravityMean)"
561,"angle(tBodyGyroMean,gravityMean)"
562,"angle(tBodyGyroJerkMean,gravityMean)"
563,"angle(X,gravityMean)"
564,"angle(Y,gravityMean)"
565,"angle(Z,gravityMean)"
